Name,Address,City,State,Zip,Type Detailed,FY25 ALOS,FY26 ALOS,notes,last_updated,Total Female Detainment,Total Male Detainment,Total Detainment,Total Non-Criminal,Full Address,latitude,longitude
WARD COUNTY JAIL,P.O. BOX 907,MINOT,ND,58702,USMS IGA,,5.149253731343284,,2026-04-09,0,1,1,1,"P.O. BOX 907, MINOT, ND, 58702",,
WASHINGTON COUNTY DETENTION CENTER,1155 WEST CLYDESDALE DRIVE,FAYETTEVILLE,AR,72701,USMS IGA,,1.746268656716418,,2026-04-09,0,4,5,3,"1155 WEST CLYDESDALE DRIVE, FAYETTEVILLE, AR, 72701",36.034115613788,-94.175990039578
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FACILITY),750 SOUTH 5300 WEST,HURRICANE,UT,84737,USMS IGA,,5.846774193548387,,2026-04-09,0,11,11,9,"750 SOUTH 5300 WEST, HURRICANE, UT, 84737",,
WASHOE COUNTY JAIL,911 PARR BLVD 775 328 3308,RENO,NV,89506,USMS IGA,,23.90332326283988,,2026-04-09,3,46,49,30,"911 PARR BLVD 775 328 3308, RENO, NV, 89506",39.571702235784,-119.810430237322
WAUKESHA COUNTY JAIL,515 WEST MORELAND,WAUKESHA,WI,53186,USMS IGA,,1.982758620689655,,2026-04-09,0,2,2,1,"515 WEST MORELAND, WAUKESHA, WI, 53186",43.008088088107,-88.236508461457
WEBB COUNTY DETENTION CENTER (CCA),9998 SOUTH HIGHWAY 83,LAREDO,TX,78041,DIGSA,,64.48473837209302,,2026-04-09,6,415,421,371,"9998 SOUTH HIGHWAY 83, LAREDO, TX, 78041",27.369935088778,-99.465440690888
WEBER COUNTY JAIL,721 WEST 12TH STREET,OGDEN,UT,84404,USMS IGA,,3.759530791788857,,2026-04-09,0,6,7,5,"721 WEST 12TH STREET, OGDEN, UT, 84404",41.244380621871,-111.995029576843
WESTERN TENNESSEE DETENTION FACILITY,6299 FINDE NAIFEH DRIVE,MASON,TN,38049,DIGSA,,22.72586872586873,,2026-04-09,13,311,324,287,"6299 FINDE NAIFEH DRIVE, MASON, TN, 38049",35.408706741192,-89.54719276054
WESTERN VIRGINIA REGIONAL JAIL,5885 W RIVER RD,SALEM,VA,24153,USMS IGA,,1.713147410358566,,2026-04-09,0,2,2,1,"5885 W RIVER RD, SALEM, VA, 24153",37.245819526302,-80.174419308324
WINN CORRECTIONAL CENTER,560 GUM SPRING ROAD,WINNFIELD,LA,71483,DIGSA,,33.31112145183806,,2026-04-09,0,1564,1564,1203,"560 GUM SPRING ROAD, WINNFIELD, LA, 71483",,
WOODBURY COUNTY JAIL,407 7TH STREET,SIOUX CITY,IA,51101,USMS IGA,,25.61868686868687,,2026-04-09,7,55,63,36,"407 7TH STREET, SIOUX CITY, IA, 51101",42.497475250501,-96.406353554501
WYATT DETENTION CENTER,950 HIGH STREET,CENTRAL FALLS,RI,02863,USMS IGA,,38.46184738955823,,2026-04-09,0,108,109,75,"950 HIGH STREET, CENTRAL FALLS, RI, 02863",41.892864456318,-71.38317268505
