Name,Address,City,State,Zip,Type Detailed,FY25 ALOS,FY26 ALOS,notes,last_updated,Total Female Detainment,Total Male Detainment,Total Detainment,Total Non-Criminal,Full Address,latitude,longitude
FLORENCE STAGING FACILITY,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85232,STAGING,,3.102176184634955,,2026-04-09,20,347,368,279,"3250 NORTH PINAL PARKWAY, FLORENCE, AZ, 85232",33.064251136883,-111.378841721523
FLORIDA SOFT-SIDED FACILITY,54575 TAMIAMI TRL E,OCHOPEE,FL,34141,STATE,,15.67506151396729,,2026-04-09,0,1382,1382,900,"54575 TAMIAMI TRL E, OCHOPEE, FL, 34141",,
FLOYD COUNTY JAIL,2526 NEW CALHOUN HWY,ROME,GA,30161,USMS IGA,,2.289156626506024,,2026-04-09,0,0,1,0,"2526 NEW CALHOUN HWY, ROME, GA, 30161",34.280281301406,-85.142977608517
FOLKSTON ANNEX IPC,3424 HWY 252 EAST,FOLKSTON,GA,31537,DIGSA,,37.910790144435,,2026-04-09,0,276,276,198,"3424 HWY 252 EAST, FOLKSTON, GA, 31537",30.878246948763,-81.978548353541
FOLKSTON D RAY ICE PROCESSING CTR,3262 HIGHWAY 252,FOLKSTON,GA,31537,DIGSA,,34.5979407979408,,2026-04-09,0,1104,1104,916,"3262 HIGHWAY 252, FOLKSTON, GA, 31537",,
FOLKSTON MAIN IPC,3026 HWY 252 EAST,FOLKSTON,GA,31537,DIGSA,,33.85900783289817,,2026-04-09,0,685,685,512,"3026 HWY 252 EAST, FOLKSTON, GA, 31537",30.874080882774,-81.981136401867
FREEBORN COUNTY ADULT DETENTION CENTER,411 SOUTH BROADWAY AVENUE,ALBERT LEA,MN,56007,IGSA,,24.48898678414097,,2026-04-09,0,68,68,37,"411 SOUTH BROADWAY AVENUE, ALBERT LEA, MN, 56007",43.645771033317,-93.368616336145
FULTON CO JAIL INDIANA,2006 SWEETGUM RD,ROCHESTER,IN,46975,USMS IGA,,2.697940503432494,,2026-04-09,0,6,6,4,"2006 SWEETGUM RD, ROCHESTER, IN, 46975",41.052332118876,-86.230707060781
GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,OH,44024,USMS IGA,,77.28888888888889,,2026-04-09,6,12,19,15,"12450 MERRITT DR, CHARDON, OH, 44024",41.503697943683,-81.192021154913
GLADES COUNTY DETENTION CENTER,1297 EAST SR 78,MOORE HAVEN,FL,33471,IGSA,,51.32659409020218,,2026-04-09,0,471,471,430,"1297 EAST SR 78, MOORE HAVEN, FL, 33471",26.839641562927,-81.122947232145
GOLDEN STATE ANNEX,611 FRONTAGE RD,MCFARLAND,CA,93250,CDF,,73.99103504482477,,2026-04-09,0,603,603,366,"611 FRONTAGE RD, MCFARLAND, CA, 93250",35.667266065224,-119.224991086143
GRAND FORKS COUNTY CORRECTIONAL FACILITY,1701 NORTH WASHINGTON ST,GRAND FORKS,ND,58203,USMS IGA,,16.38277511961723,,2026-04-09,3,16,20,14,"1701 NORTH WASHINGTON ST, GRAND FORKS, ND, 58203",47.935763277888,-97.055756126776
GRAYSON COUNTY JAIL,320 SHAW STATION ROAD,LEITCHFIELD,KY,42754,USMS IGA,,37.51657458563536,,2026-04-09,150,6,156,129,"320 SHAW STATION ROAD, LEITCHFIELD, KY, 42754",37.48826235841,-86.268530023868
GREENE COUNTY JAIL,1199 N HASELTINE RD,SPRINGFIELD,MO,65802,USMS IGA,,22.27962962962963,,2026-04-09,32,238,270,215,"1199 N HASELTINE RD, SPRINGFIELD, MO, 65802",37.22266360167,-93.385503915519
HALL COUNTY DEPARTMENT OF CORRECTIONS,110 PUBLIC SAFETY DRIVE,GRAND ISLAND,NE,68801,USMS IGA,,9.785087719298245,,2026-04-09,0,12,12,6,"110 PUBLIC SAFETY DRIVE, GRAND ISLAND, NE, 68801",,
HANCOCK COUNTY PUBLIC SAFETY COMPLEX,8450 HIGHWAY 90,BAY ST. LOUIS,MS,39520,IGSA,,1.754056978002164,,2026-04-09,3,22,26,22,"8450 HIGHWAY 90, BAY ST. LOUIS, MS, 39520",,
HARDIN COUNTY JAIL,1116 14TH AVENUE,ELDORA,IA,50627,USMS IGA,,22.03225806451613,,2026-04-09,1,43,44,21,"1116 14TH AVENUE, ELDORA, IA, 50627",42.359818885536,-93.097309130131
HENDERSON DETENTION,18 E BASIC ROAD,HENDERSON,NV,89015,USMS IGA,,26.01438848920863,,2026-04-09,18,71,89,60,"18 E BASIC ROAD, HENDERSON, NV, 89015",36.030908391633,-114.978310978539
HONOLULU FEDERAL DETENTION CENTER,351 ELLIOTT ST.,HONOLULU,HI,96819,BOP,,62.77005347593583,,2026-04-09,10,63,73,54,"351 ELLIOTT ST., HONOLULU, HI, 96819",21.333487642811,-157.928902457121
HOPKINS COUNTY JAIL,2250 LAFOON TRAIL,MADISONVILLE,KY,42431,USMS IGA,,60.53118279569892,,2026-04-09,2,169,172,139,"2250 LAFOON TRAIL, MADISONVILLE, KY, 42431",37.336882722024,-87.539990705607
HOUSTON CONTRACT DETENTION FACILITY,15850 EXPORT PLAZA DRIVE,HOUSTON,TX,77032,CDF,,47.15247863247863,,2026-04-09,288,557,845,657,"15850 EXPORT PLAZA DRIVE, HOUSTON, TX, 77032",29.948558100436,-95.312933867683
IAH SECURE ADULT DETENTION FACILITY (POLK),3400 FM 350 SOUTH,LIVINGSTON,TX,77351,DIGSA,,69.7075773745998,,2026-04-09,0,870,870,629,"3400 FM 350 SOUTH, LIVINGSTON, TX, 77351",30.697922858893,-95.001909275784
IMPERIAL REGIONAL DETENTION FACILITY,1572 GATEWAY,CALEXICO,,92231,CDF,,68.78492239467849,,2026-04-09,55,602,657,566,"1572 GATEWAY, CALEXICO, 92231",,
IRWIN COUNTY DETENTION CENTER,132 COTTON DRIVE,OCILLA,GA,31772,USMS IGA,,14.06784660766962,,2026-04-09,15,151,166,133,"132 COTTON DRIVE, OCILLA, GA, 31772",31.579675816373,-83.25468738964
JACKSON PARISH CORRECTIONAL CENTER,327 INDUSTRIAL DRIVE,JONESBORO,LA,71251,IGSA,,33.499585553582,,2026-04-09,0,1196,1197,1040,"327 INDUSTRIAL DRIVE, JONESBORO, LA, 71251",32.215868909844,-92.71788478386
JEFFERSON COUNTY JAIL,219 EAST FREMONT AVENUE,RIGBY,ID,83442,IGSA,,5.464135021097047,,2026-04-09,0,7,7,5,"219 EAST FREMONT AVENUE, RIGBY, ID, 83442",43.673326921812,-111.911624203253
JOE CORLEY PROCESSING CTR,500 HILBIG RD,CONROE,TX,77301,IGSA,,49.15955860423502,,2026-04-09,0,952,952,804,"500 HILBIG RD, CONROE, TX, 77301",30.336794511094,-95.449924419524
JTF CAMP SIX,AVENUE C PSC 1005 BOX 55,FPO,FL,34009,DOD,,30.32330827067669,,2026-04-09,0,14,14,11,"AVENUE C PSC 1005 BOX 55, FPO, FL, 34009",,
KANDIYOHI COUNTY JAIL,2201 23RD ST NE,WILLMAR,MN,56201,IGSA,,28.39144050104384,,2026-04-09,7,98,105,70,"2201 23RD ST NE, WILLMAR, MN, 56201",45.144981085252,-95.012127858056
KARNES COUNTY CORRECTIONAL CENTER,810 COMMERCE STREET,KARNES CITY,TX,78118,USMS IGA,,4.098360655737705,,2026-04-09,0,2,2,0,"810 COMMERCE STREET, KARNES CITY, TX, 78118",28.883261558502,-97.9092598652
KARNES COUNTY IMMIGRATION PROCESSING CENTER,409 FM 1144,KARNES CITY,TX,78118,DIGSA,,51.00979094998677,,2026-04-09,353,808,1161,1100,"409 FM 1144, KARNES CITY, TX, 78118",28.885466192052,-97.913747445555
KAY CO JUSTICE FACILITY,1101 WEST DRY ROAD,NEWKIRK,OK,74647,IGSA,,21.72078431372549,,2026-04-09,0,154,154,102,"1101 WEST DRY ROAD, NEWKIRK, OK, 74647",36.868614364596,-97.070574919206
KENTON COUNTY JAIL,3000 DECKER CRANE LANE,COVINGTON,KY,41017,USMS IGA,,41.97135416666666,,2026-04-09,0,117,118,85,"3000 DECKER CRANE LANE, COVINGTON, KY, 41017",39.002717896277,-84.531619363991
KNOX COUNTY DETENTION FACILITY,5001 MALONEYVILLE RD,KNOXVILLE,TN,37918,USMS IGA,,4.025510204081633,,2026-04-09,6,23,30,24,"5001 MALONEYVILLE RD, KNOXVILLE, TN, 37918",36.083494052075,-83.840132650627
KROME NORTH SERVICE PROCESSING CENTER,18201 SW 12TH ST,MIAMI,FL,33194,SPC,,24.58340461933276,,2026-04-09,0,860,860,482,"18201 SW 12TH ST, MIAMI, FL, 33194",25.753429684438,-80.489709399941
LA SALLE COUNTY REGIONAL DETENTION CENTER,832 EAST TEXAS STATE HIGHWAY 44,ENCINAL,TX,78019,USMS IGA,,53.1764705882353,,2026-04-09,0,212,213,197,"832 EAST TEXAS STATE HIGHWAY 44, ENCINAL, TX, 78019",,
LAFAYETTE PARISH CORRECTIONAL CENTER,916 LAFAYETTE STREET,LAFAYETTE,LA,70501,IGSA,,3.27536231884058,,2026-04-09,0,2,2,2,"916 LAFAYETTE STREET, LAFAYETTE, LA, 70501",30.223890037862,-92.020845517403
LARAMIE COUNTY JAIL,1910 PIONEER AVENUE,CHEYENNE,WY,82001,USMS IGA,,2.27217125382263,,2026-04-09,0,4,4,3,"1910 PIONEER AVENUE, CHEYENNE, WY, 82001",41.134664119361,-104.819413990993
LAREDO PROCESSING CENTER,4702 EAST SAUNDERS STREET,LAREDO,TX,78041,DIGSA,,54.18283261802575,,2026-04-09,351,1,353,336,"4702 EAST SAUNDERS STREET, LAREDO, TX, 78041",27.528561265961,-99.448625764228
LAUREL COUNTY CORRECTIONAL CENTER,440 HAMMOCK ROAD,LONDON,KY,40744,USMS IGA,,2.078740157480315,,2026-04-09,0,1,1,0,"440 HAMMOCK ROAD, LONDON, KY, 40744",37.054652975976,-84.07296796408
LAWRENCE COUNTY,80 SHERMAN STREET,DEADWOOD,SD,57732,USMS IGA,,35.34782608695652,,2026-04-09,0,10,10,9,"80 SHERMAN STREET, DEADWOOD, SD, 57732",44.375830270659,-103.729184254158
LEWISBURG US PENITENTIARY,P.O. BOX 1000,LEWISBURG,PA,17837,BOP,,30.96153846153846,,2026-04-09,0,61,61,21,"P.O. BOX 1000, LEWISBURG, PA, 17837",,
LEXINGTON COUNTY JAIL,521 GIBSON ROAD,LEXINGTON,SC,29072,USMS IGA,,1.636363636363636,,2026-04-09,1,4,5,4,"521 GIBSON ROAD, LEXINGTON, SC, 29072",33.979792549084,-81.250093976667
LIBERTY COUNTY JAIL,12499 NW POGO ST PO BOX 67,BRISTOL,FL,32321,IGSA,,8.367647058823529,,2026-04-09,0,8,8,7,"12499 NW POGO ST PO BOX 67, BRISTOL, FL, 32321",30.431796613104,-84.979718234791
LIMESTONE COUNTY DETENTION CENTER,910 NORTH TYUS STREET,GROESBECK,TX,76642,USMS IGA,,43.95495495495496,,2026-04-09,0,257,257,218,"910 NORTH TYUS STREET, GROESBECK, TX, 76642",31.527627464865,-96.514511332987
LINCOLN COUNTY JAIL,3020 N JEFFERS,NORTH PLATTE,NE,69101,USMS IGA,,29.10169491525424,,2026-04-09,4,28,32,11,"3020 N JEFFERS, NORTH PLATTE, NE, 69101",41.107266673648,-100.764086926775
LINN COUNTY JAIL,53 3RD AVENUE BRIDGE,CEDAR RAPIDS,IA,52401,USMS IGA,,20.89403973509934,,2026-04-09,4,38,42,24,"53 3RD AVENUE BRIDGE, CEDAR RAPIDS, IA, 52401",41.975326317595,-91.670093068314
LOGAN COUNTY JAIL,216 S BROAD ST,GUTHRIE,OK,73044,USMS IGA,,1.545627376425855,,2026-04-09,0,4,5,4,"216 S BROAD ST, GUTHRIE, OK, 73044",35.876874447392,-97.422689391657
LOUISIANA ICE PROCESSING,18198 TUNICA TRACE BLDG E,ANGOLA,LA,70712,IGSA,,61.06938775510204,,2026-04-09,0,181,181,23,"18198 TUNICA TRACE BLDG E, ANGOLA, LA, 70712",,
MADISON COUNTY JAIL,2935 HIGHWAY 51,CANTON,MS,39046,USMS IGA,,1.784217016029593,,2026-04-09,1,6,7,6,"2935 HIGHWAY 51, CANTON, MS, 39046",32.586359436992,-90.044590625855
MAHONING COUNTY JAIL,110 FIFTH AVENUE,YOUNGSTOWN,OH,44503,USMS IGA,,16.37382075471698,,2026-04-09,32,60,93,78,"110 FIFTH AVENUE, YOUNGSTOWN, OH, 44503",41.103650950824,-80.654512314256
MARTIN COUNTY JAIL,800 SOUTHEAST MONTEREY ROAD,STUART,FL,34994,USMS IGA,,2.754060324825986,,2026-04-09,2,3,6,4,"800 SOUTHEAST MONTEREY ROAD, STUART, FL, 34994",,
MCCOOK DETENTION CENTER,2309 N HIGHWAY 83,MCCOOK,NE,69001,DIGSA,,33.47474747474747,,2026-04-09,0,105,105,59,"2309 N HIGHWAY 83, MCCOOK, NE, 69001",,
MESA VERDE ICE PROCESSING CENTER,425 GOLDEN STATE AVE,BAKERSFIELD,CA,93301,CDF,,53.94123505976096,,2026-04-09,0,360,360,280,"425 GOLDEN STATE AVE, BAKERSFIELD, CA, 93301",35.380568753903,-119.006105571175
MIAMI CORRECTIONAL CENTER,3038 WEST 850 SOUTH P.O. BOX 900,BUNKERHILL,IN,46914,IGSA,,45.69112426035503,,2026-04-09,0,457,457,172,"3038 WEST 850 SOUTH P.O. BOX 900, BUNKERHILL, IN, 46914",40.64292745043,-86.139331716857
MIAMI FEDERAL DETENTION,33 NE 4 STREET,MIAMI,FL,33132,BOP,,57.51464766429137,,2026-04-09,0,459,459,247,"33 NE 4 STREET, MIAMI, FL, 33132",25.778062807049,-80.193450784181
MIAMI STAGING FACILITY,UNAVAILABLE,MIAMI,FL,33101,STAGING,,0.6982538748283303,,2026-04-09,0,19,19,15,"UNAVAILABLE, MIAMI, FL, 33101",,
MIDWEST REGIONAL RECEPTION CENTER,100 HIGHWAY TERRACE,LEAVENWORTH,KS,66048,CDF,,9.428571428571429,,2026-04-09,0,6,6,4,"100 HIGHWAY TERRACE, LEAVENWORTH, KS, 66048",39.27326030146,-94.894388452003
MILLER COUNTY JAIL,2300 EAST STREET,TEXARKANA,AR,71854,USMS IGA,,2.29951690821256,,2026-04-09,0,5,5,4,"2300 EAST STREET, TEXARKANA, AR, 71854",33.401123992623,-94.024340858324
MINICASSIA DETENTION CENTER,1415 ALBION AVENUE,BURLEY,ID,83318,USMS IGA,,2.699152542372881,,2026-04-09,0,3,3,2,"1415 ALBION AVENUE, BURLEY, ID, 83318",42.535328491572,-113.791842735602
MINNEHAHA COUNTY JAIL,500 NORTH MINNESOTA AVENUE,SIOUX FALLS,SD,57104,USMS IGA,,2.469055374592834,,2026-04-09,0,3,4,3,"500 NORTH MINNESOTA AVENUE, SIOUX FALLS, SD, 57104",43.552579753074,-96.73126892397
MONROE COUNTY DETENTION-DORM,7000 EAST DUNBAR ROAD,MONROE,MI,48161,IGSA,,48.75819672131148,,2026-04-09,0,122,122,112,"7000 EAST DUNBAR ROAD, MONROE, MI, 48161",41.893436051094,-83.396412986676
MONTGOMERY ICE PROCESSING CENTER,806 HILBIG RD,CONROE,TX,77301,CDF,,15.59026675734905,,2026-04-09,327,903,1230,914,"806 HILBIG RD, CONROE, TX, 77301",30.338191461059,-95.444404260251
MOSHANNON VALLEY PROCESSING CENTER,555 GEO DRIVE,PHILIPSBURG,PA,16866,DIGSA,,51.34133416458853,,2026-04-09,47,1603,1650,1293,"555 GEO DRIVE, PHILIPSBURG, PA, 16866",40.920325048104,-78.240346829015
MUSCATINE COUNTY JAIL,400 WALNUT STREET,MUSCATINE,IA,52761,USMS IGA,,46.23170731707317,,2026-04-09,0,15,16,6,"400 WALNUT STREET, MUSCATINE, IA, 52761",41.42468587017,-91.044182028696
NATRONA COUNTY JAIL,1100 BRUCE LANE,CASPER,WY,82601,USMS IGA,,12.05395683453237,,2026-04-09,0,9,10,8,"1100 BRUCE LANE, CASPER, WY, 82601",42.862421267126,-106.344744101009
NELSON COLEMAN CORRECTION,5061 HIGHWAY 3127,KILLONA,LA,70057,USMS IGA,,1.895522388059701,,2026-04-09,0,2,2,2,"5061 HIGHWAY 3127, KILLONA, LA, 70057",,
NEVADA SOUTHERN DETENTION CENTER,2190 EAST MESQUITE AVENUE,PAHRUMP,NV,89060,USMS CDF,,45.93264248704664,,2026-04-09,0,467,467,286,"2190 EAST MESQUITE AVENUE, PAHRUMP, NV, 89060",36.249199894958,-115.979109859124
NEW HANOVER COUNTY JAIL,3950 JUVENILE RD,CASTLE HAYNE,NC,28429,USMS IGA,,2.452307692307692,,2026-04-09,0,4,4,3,"3950 JUVENILE RD, CASTLE HAYNE, NC, 28429",34.32612967523,-77.894209793195
NIAGARA COUNTY JAIL,5526 NIAGARA STREET EXTENTION,LOCKPORT,NY,14094,USMS IGA,,11.2109375,,2026-04-09,8,0,8,8,"5526 NIAGARA STREET EXTENTION, LOCKPORT, NY, 14094",43.178841531083,-78.726048146575
NORTH LAKE CORRECTIONAL FACILITY,1805 W 32ND ST,BALDWIN,MI,49304,CDF,,49.08342022940563,,2026-04-09,114,1296,1410,1261,"1805 W 32ND ST, BALDWIN, MI, 49304",43.929590847419,-85.832146926811
NORTHEAST OHIO CORRECTIONAL CENTER,2240 HUBBARD ROAD,YOUNGSTOWN,OH,44505,USMS IGA,,31.6397400185701,,2026-04-09,0,196,196,157,"2240 HUBBARD ROAD, YOUNGSTOWN, OH, 44505",41.128821631135,-80.626767417585
NORTHWEST ICE PROCESSSING CENTER,1623 E. J STREET,TACOMA,WA,98421,CDF,,56.10095554632323,,2026-04-09,129,1160,1289,914,"1623 E. J STREET, TACOMA, WA, 98421",47.249091123373,-122.422445401511
NORTHWEST REGIONAL CORRECTIONS CENTER,"816 MARIN AVE., SUITE 110",CROOKSTON,MN,56716,USMS IGA,,19.55,,2026-04-09,0,12,13,12,"816 MARIN AVE., SUITE 110, CROOKSTON, MN, 56716",47.767594794588,-96.629236825316
NORTHWEST STATE CORRECTIONAL CENTER,3649 LOWER NEWTON ROAD,SWANTON,VT,05488,USMS IGA,,13.61870503597122,,2026-04-09,0,10,10,9,"3649 LOWER NEWTON ROAD, SWANTON, VT, 05488",44.854465623277,-73.13486915742
OLDHAM COUNTY DETENTION CENTER,3405 W HWY 146,LA GRANGE,KY,40031,USMS IGA,,36.64937388193202,,2026-04-09,0,132,133,90,"3405 W HWY 146, LA GRANGE, KY, 40031",38.38928348821,-85.421744342853
ORANGE COUNTY JAIL (FL),3855 SOUTH JOHN YOUNG PARKWAY,ORLANDO,FL,32839,USMS IGA,,2.613975576662144,,2026-04-09,11,51,62,52,"3855 SOUTH JOHN YOUNG PARKWAY, ORLANDO, FL, 32839",28.503809563581,-81.417353078691
ORANGE COUNTY JAIL (NY),110 WELLS FARM ROAD,GOSHEN,NY,10924,IGSA,,49.41731066460587,,2026-04-09,0,152,153,75,"110 WELLS FARM ROAD, GOSHEN, NY, 10924",41.404977926187,-74.35683939616
OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92154,CDF,,61.87070753629869,,2026-04-09,237,1142,1380,1161,"7488 CALZADA DE LA FUENTE, SAN DIEGO, CA, 92154",,
OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,NM,88081,DIGSA,,64.45891965501589,,2026-04-09,136,738,874,738,"26 MCGREGOR RANGE ROAD, CHAPARRAL, NM, 88081",32.079440232166,-106.276750017338
OZARK COUNTY SHERIFF'S OFFICE,1818 COUNTY ROAD 806,GAINESVILLE,MO,65655,IGSA,,43.75,,2026-04-09,0,21,21,11,"1818 COUNTY ROAD 806, GAINESVILLE, MO, 65655",36.600321114796,-92.44858429024
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),300 KANSAS CITY STREET NONE,RAPID CITY,SD,57701,USMS IGA,,4.369426751592357,,2026-04-09,0,3,3,2,"300 KANSAS CITY STREET NONE, RAPID CITY, SD, 57701",44.07801401986,-103.221398556714
PHELPS COUNTY JAIL (MO),301 W. 2ND,ROLLA,MO,65401,USMS IGA,,37.61842105263158,,2026-04-09,2,11,14,11,"301 W. 2ND, ROLLA, MO, 65401",37.945451767764,-91.768525632572
PHELPS COUNTY JAIL (NE),715 5TH AVENUE,HOLDREGE,NE,68949,USMS IGA,,45.16666666666666,,2026-04-09,2,22,24,10,"715 5TH AVENUE, HOLDREGE, NE, 68949",40.439023332487,-99.370462837658
PICKENS COUNTY DETENTION CENTER,188 CEMETERY ST,CARROLLTON,AL,35447,IGSA,,4.438393839383939,,2026-04-09,5,38,44,37,"188 CEMETERY ST, CARROLLTON, AL, 35447",33.260433512323,-88.095698362094
PIKE COUNTY JAIL,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PA,18428,IGSA,,65.96477495107632,,2026-04-09,0,237,237,167,"175 PIKE COUNTY BOULEVARD, LORDS VALLEY, PA, 18428",41.389865475633,-75.073633397949
PINE PRAIRIE ICE PROCESSING CENTER,1133 HAMPTON DUPRE ROAD,PINE PRAIRIE,LA,70576,DIGSA,,15.0306587755894,,2026-04-09,0,864,864,671,"1133 HAMPTON DUPRE ROAD, PINE PRAIRIE, LA, 70576",30.788230756443,-92.423661136039
PINELLAS COUNTY JAIL,14400 49TH STREET NORTH,CLEARWATER,FL,33762,USMS IGA,,1.785632839224629,,2026-04-09,8,26,34,28,"14400 49TH STREET NORTH, CLEARWATER, FL, 33762",27.90288669482,-82.700625363491
PLYMOUTH COUNTY CORRECTIONAL FACILITY,26 LONG POND ROAD,PLYMOUTH,MA,02360,IGSA,,45.34542501353546,,2026-04-09,0,493,493,362,"26 LONG POND ROAD, PLYMOUTH, MA, 02360",41.932689054235,-70.65791438456
POLK COUNTY JAIL,1985 NE 51ST PLACE,DES MOINES,IA,50313,USMS IGA,,23.31050228310502,,2026-04-09,4,49,53,27,"1985 NE 51ST PLACE, DES MOINES, IA, 50313",41.654267706569,-93.585483600352
PORT ISABEL SPC,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,TX,78566,SPC,,7.616890783863562,,2026-04-09,13,1217,1230,1095,"27991 BUENA VISTA BOULEVARD, LOS FRESNOS, TX, 78566",,
POTTAWATTAMIE COUNTY JAIL,1400 BIG LAKE ROAD,COUNCIL BLUFFS,IA,51501,USMS IGA,,18.38291139240506,,2026-04-09,3,26,29,10,"1400 BIG LAKE ROAD, COUNCIL BLUFFS, IA, 51501",41.284238268293,-95.864048089827
PRAIRIELAND DETENTION CENTER,1209 SUNFLOWER LN,ALVARADO,TX,76009,DIGSA,,19.02750199703298,,2026-04-09,130,804,935,773,"1209 SUNFLOWER LN, ALVARADO, TX, 76009",32.420641692774,-97.196741848419
RICHWOOD CORRECTIONAL CENTER,180 PINE BAYOU CIRCLE,MONROE,LA,71202,DIGSA,,46.5179794520548,,2026-04-09,687,351,1039,941,"180 PINE BAYOU CIRCLE, MONROE, LA, 71202",32.458415067106,-92.078230937332
RIO GRANDE DETENTION CENTER,1001 SAN RIO BOULEVARD,LAREDO,TX,78046,USMS CDF,,57.8305351521511,,2026-04-09,0,624,624,582,"1001 SAN RIO BOULEVARD, LAREDO, TX, 78046",27.380000365064,-99.486304167981
RIVER CORRECTIONAL CENTER,26362 HIGHWAY 15,FERRIDAY,LA,71334,IGSA,,50.46748831279218,,2026-04-09,0,555,555,515,"26362 HIGHWAY 15, FERRIDAY, LA, 71334",31.606468020259,-91.560297166365
RIVERSIDE REGIONAL JAIL,1000 RIVER ROAD,HOPEWELL,VA,23860,USMS IGA,,3.117137648131267,,2026-04-09,4,69,73,61,"1000 RIVER ROAD, HOPEWELL, VA, 23860",37.298836865753,-77.334062797461
ROBERT A DEYTON DETENTION FACILITY,11866 HASTINGS BRIDGE ROAD P.O. BOX 429,LOVEJOY,GA,30250,USMS IGA,,3.280793319415449,,2026-04-09,0,17,17,10,"11866 HASTINGS BRIDGE ROAD P.O. BOX 429, LOVEJOY, GA, 30250",,
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),"VICENTE T. SEMAN BLDG, CIVIC CENTER",SAIPAN,MP,96950,USMS IGA,,41.91525423728814,,2026-04-09,2,17,19,15,"VICENTE T. SEMAN BLDG, CIVIC CENTER, SAIPAN, MP, 96950",,
